职业类型,职业名称,薪资,地址,资历,学历要求,职业类型,职业简介,公司名称,公司规模,公司类型,时间
JAVA工程师,java Architect,25-45K,杭州,3-5年,本科,Java,传说中的架构师,有赞,1000-9999人,互联网,2024上半年
JAVA工程师,java 高级,20-30K,北京,5-10年,本科,"Oracle
微服务架构
SpringBoot
SpringCloud
MySQL
高级软件工程师
Maven
基金、金融、保险","java一、任职要求
1、大学本科以上学历（学信网可查），5年以上java实际开发经验；
2、精通java开发；
3、精通基于数据库(oracle或MySQL)的应用开发；
4、对微服务有一定认知，精通spring cloud或springboot框架。熟悉springboot整合数据库、日志、Redis、MQ等常见框架组件；
5、熟练使用maven或gradle；
6、有项目中承担功能设计、小团队管理经验。有大项目管理经验优先；
二、岗位职责
1、参与系统需求分析与设计；
2、根据设计文档或需求说明书等，独立完成代码编写，按时提交高质量代码；
3、负责开发过程中技术文档的编写；",北京奥海科技有限公司,0-20人,计算机软件,2024上半年
JAVA工程师,JAVA PHP,8-11K,西安,3-5年,本科,"企业软件
PHP
Java","职位描述
岗位职责：
1.负责网站、基于微信端的网页开发小程序等；
2.熟悉小程序，微信公众号、微信网页获取重要参数等常见流程。
3.配合平面设计产品开发；
4.进行网站数据库的设计、管理、开发和优化；
任职要求：
1。熟悉互联网相关技术，具有3年以上php开发经验，曾独立完成微信端项目优先；
2。精通PHP，熟悉ThinkPHP，Yii2.0，laravel等常用框架之一。
3，熟悉html、css、javaScript、jQuery等；
4.熟悉Apache、Nginx等应用服务器，能独立安装centerOS服务器配置，熟悉常用Linux命令；
5.精通SQL语法，熟悉MySQL数据库，包括数据库设计，熟悉常用的数据库优化策略；
任职资格：3-5年工作经验",丰瑞讯腾,0-20人,互联网,2024上半年
JAVA工程师,SQL Java,7-9K,深圳,1-3年,学历不限,"SQL
Oracle","职位要求：
●2年以上Java开发工作经验
●精通mysql、oracle或sql server等主流数据库的开发；
●良好的沟通能力和团队合作精神，能够承受一定的工作压力 ;
●思路清晰，逻辑分析能力强
●有MES系统开发维护经验者优先
●能简单的英语/日语沟通
工作描述：
◆负责MES及其他相关工厂系统的开发及维护工作
◆沟通及处理用户提出的系统维护和改善需求
◆分析用户需求，制作开发式样书以及编码
◆单体测试并推进用户验证测试
◆完成系统上线，并进行问题跟踪
◆定期数据库优化作业
◆完成其它PL交办事项",华科志远,20-99人,互联网,2024上半年
JAVA工程师,JAVA 高级开发,15-25K·13薪,杭州,3-5年,大专,"SQL
Python
分布式技术
服务器配置
Spring
Redis
NoSQL
MongoDB","岗位职责：
1、负责移动App的开发设计，有相关经验者优先考虑；
2、能够独立完成技术设计和编码实现、进行代码Review；
3、负责业务所需的接口和数据管理，API数据接口开发；
4、负责产品接口设计、开发和维护；
5、跟进需求，持续迭代改进产品；
任职要求：
1、3年以上Java语言WEB应用开发经验；
2、深?了解Java EE相关的主流框架，熟知原理及机制，如Spring Boot、Mybatis等；
3、扎实的编程基础，精通Java开发语言，
4、熟悉jvm、web、缓存、分布式架构、消息中间件等核心技术；
5、熟悉Mysql数据库，对sql优化有?定经验，有redis、mongodb开发经验优先；
6、熟悉Nginx、Tomcat等服务端容器的配置及优化；
7、熟悉Linux系统，熟用git、Junit等工具；
8、具备良好的团队合作精神，具备良好的沟通能力；
9、具备独立解决问题的能力，对软件产品有强烈的责任心；
加分项：
1、熟悉NodeJS和Python；
2、有开源作品或者博客；
3、为社区贡献过代码；
4、实践过Scrum或者Kanban方法；
5、了解爬虫技术；",从融科技,20-99人,移动互联网,2024上半年
JAVA工程师,JAVA 中高级,13-18K,深圳,5-10年,大专,"Java
后端开发
计算机软件
微服务
SQL
Oracle
全栈开发","岗位职责：
1、参与公司中后台系统的研发，承担系统的后管及部分核心功能研发工作；
2、参与并协助架构师完成项目的系统架构设计；
3、关注技术细节，并能根据业务需求和相关分析数据，提出技术和架构上的改进方案
岗位要求（银行最低学历要求为全日制本科）：
1、计算机及相关专业，本科或以上学历，具有3年以上JAVA开发经验，熟悉金融行业业务开发者优先；
2、熟悉JAVA应用系统技术栈，包括常用服务器，中间件，数据库，缓存及存储方案，线上运维等；熟练掌握主流开发JAVA开发框架，如SpringMVC、Dubbo、SpringBoot及SpringCloud等开源框架，对其核心思想、实现原理有一定认知；
3、具有很强的求知欲，爱好学习，技术钻研能力强。",深圳市德诺信科技...,20-99人,互联网,2024上半年
JAVA工程师,Java 工程师,10-13K·13薪,呼和浩特,3-5年,本科,"计算机软件
Spring
SpringMVC
Oracle
后端开发
全栈开发
Linux
软件工程师","一、岗位职责
1.参与公司产品的技术开发，担当主要开发任务；
2.参与需求分析，承担软件系统模块设计的工作；
3.负责完成代码的编写工作；
4.负责完成模块集成、单元测试、模块测试；
5.负责软件产品部署及维护等。
二、岗位技能
1.熟悉JavaEE技术，熟悉Spring、SpringMVC、SpringBoot、MyBatis、SpringCloud等主流技术框架；
2.熟练使用HTML、CSS、JavaScript、jQuery、Ajax、BootStarp、VUE等主流前端技术及框架；
3.熟悉SQL语言，熟练使用Oracle、MySQL、PostgreSQL等关系型数据库及Redis，mongoDB等非关系型数据库；
4.熟悉Java编程语言，熟悉IO、多线程、异步处理等基础架构，熟悉jvm；
5.熟悉掌握Tomcat、Apache、Weblogic、WebSphere、Nginx等中间件使用及部署；
6.熟悉掌握容器技术Docker、K8S镜像的常用操作；
7.熟练掌握Linux/Unix操作系统，对常用命令运用娴熟；
8.熟悉国产化操作系统、数据库、中间件的开发应用；",博思软件,1000-9999人,计算机软件,2024上半年
JAVA工程师,Java 南京,10-13K,南京,3-5年,大专,"Java
SpringCloud
MySQL","工作职责
1、参与产品和技术方案的讨论和评审，负责应用模块的设计/实现工作；
2、协助架构师进行公司软件系统框架、核心模块和对外接口的详细设计，参与核心代码的编写；
3、承担开发工作，对代码质量及项目进度负责，分析并解决软件开发过程中的问题，确保开发模块安全、高质量、性能良好；
4、编写和整理技术文档，参与关键技术验证以及技术选型工作，开展技术研究成果的培训，能指导初中级工程师进行开发和文档编写等开发类工作；
工作要求
1、专科及以上学历，计算机、软件相关专业；
2、3年及以上Java软件开发经验，具备优秀的分析设计能力和代码编写能力；
3、熟练掌握Java语言编程,掌握优秀的java编程习惯和高性能编程技能；
4、掌握spring生态圈各种开发平台并有实际项目开发经验，包括SpringBoot，SpringMVC，SpringCloud等框架；
5、熟悉MySQL、Oracle、Postgresql、MongoDB等常见数据库中至少一种；了解ClickHouse/TiDB等数据库使用及优化经验；
6、熟练使用Ajax、JavaScript、css等前端开发技术；
7、较好的沟通能力，具备良好的团队协作能力，善于思考，能独立分析和解决问题；具有创新思维。",北京协成致远,20-99人,大数据,2024上半年
JAVA工程师,java 实习生,150-300元/天,武汉,5天/周 12个月,学历不限,Java,"1.基础好
2.有学习热情
3.有团队培养
4.前端vue经验加分
周末双休 每天工作7.5小时 需线下面试",荣浪,20-99人,电力/热力/燃气/水利,2024上半年
JAVA工程师,Java 技术专家,30-45K,杭州,3-5年,本科,"Java
SQL","一、职位描述
负责天猫超市前台产品体系的系统设计和实现，包括导购、营销、交易和售中售后的产品体系建设，主要使用java语言做业务系统开发，在团队中能够接触阿里电商的完整链路.
有机会去全面学习从业务层到中间件到存储层以及网络层的实现，全面提升自己的技术和业务能力。
工作主要体现在两方面：
1) 进行天猫超市整体业务电商前台链路的研发，包括与阿里集团中台（交易、库存、营销平台等）各技术体系讨论设计方案，以及进行编码和推动产品上线工作；
2) 解决各种疑难杂症问题、系统架构治理及性能优化工作，且完成业务产品建设和技术能力持续沉淀。
二、职位要求
1）3年及以上J2EE开发经验，扎实的Java编程基础，理解io、反射、多线程、集合等，清楚JVM的原理；
2）熟练掌握主流JAVA框架，并且能了解到它的原理和机制；熟悉MySQL/Oracle数据库中的一种或多种，有一定的SQL性能优化经验；
3）熟悉分布式系统的设计和应用，熟练掌握分布式、缓存、消息等机制；
4）业务理解和学习能力强，善于与商业/合作伙伴交流，有很好的适应和沟通能力，具备责任心、耐心、细心的品质；
5）能针对复杂问题分析和分解寻求路径，进行合理的架构设计和技术选型，具有非常好推动和执行能力，最终解决问题；
6）有电商业务实战经验清楚电商技术体系优先，有宽广视野和优秀的业务理解力优先，具备高度的业务抽象建模能力优先。",浙江天猫技术有限公司,1000-9999人,电子商务,2024上半年
